id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
52,1182,2018-04-02 11:30:00+00:00,1188,2018-04-02 14:30:00+00:00,SELL,1331.88,1333.66622989817,1333.66622989817,1328.30754020366,0.1,-18.562298981699495,-178.62298981699496,-1.0,SL,2018Q2,2018,6,2018-04-02 11:30:00+00:00,2018Q2,2018
53,1193,2018-04-02 17:00:00+00:00,1193,2018-04-02 17:00:00+00:00,SELL,1334.01,1336.1852306599071,1336.1852306599071,1329.6595386801855,0.1,-22.45230659907129,-217.5230659907129,-1.0,SL,2018Q2,2018,0,2018-04-02 17:00:00+00:00,2018Q2,2018
54,1196,2018-04-02 18:30:00+00:00,1197,2018-04-02 19:00:00+00:00,SELL,1336.74,1339.288178483898,1339.288178483898,1331.643643032204,0.1,-26.181784838980274,-254.81784838980275,-1.0,SL,2018Q2,2018,1,2018-04-02 18:30:00+00:00,2018Q2,2018
55,1202,2018-04-02 21:30:00+00:00,1227,2018-04-03 11:00:00+00:00,SELL,1342.73,1336.7007385183667,1345.7446307408165,1336.7007385183667,0.1,59.59261481633284,602.9261481633284,1.9319205384226366,TP,2018Q2,2018,25,2018-04-02 21:30:00+00:00,2018Q2,2018
56,1237,2018-04-03 16:00:00+00:00,1239,2018-04-03 17:00:00+00:00,SELL,1338.4,1333.2813376154506,1340.9593311922747,1333.2813376154506,0.1,50.48662384549452,511.86623845494523,1.9201317808054057,TP,2018Q2,2018,2,2018-04-03 16:00:00+00:00,2018Q2,2018
57,1242,2018-04-03 18:30:00+00:00,1272,2018-04-04 10:30:00+00:00,BUY,1331.16,1337.4784243967292,1328.0007878016354,1337.4784243967292,0.1,62.48424396729142,631.8424396729142,1.9349686588863455,TP,2018Q2,2018,30,2018-04-03 18:30:00+00:00,2018Q2,2018
58,1275,2018-04-04 12:00:00+00:00,1277,2018-04-04 13:00:00+00:00,SELL,1341.91,1344.765401382988,1344.765401382988,1336.1991972340243,0.1,-29.254013829880204,-285.54013829880205,-1.0,SL,2018Q2,2018,2,2018-04-04 12:00:00+00:00,2018Q2,2018
59,1279,2018-04-04 14:00:00+00:00,1280,2018-04-04 14:30:00+00:00,SELL,1342.8,1345.7015026004665,1345.7015026004665,1336.9969947990671,0.1,-29.715026004665287,-290.1502600466529,-1.0,SL,2018Q2,2018,1,2018-04-04 14:00:00+00:00,2018Q2,2018
60,1282,2018-04-04 15:30:00+00:00,1286,2018-04-04 17:30:00+00:00,SELL,1346.13,1339.2023351215564,1349.5938324392218,1339.2023351215564,0.1,68.57664878443693,692.7664878443693,1.9405744319767402,TP,2018Q2,2018,4,2018-04-04 15:30:00+00:00,2018Q2,2018
61,1306,2018-04-05 04:30:00+00:00,1311,2018-04-05 07:00:00+00:00,BUY,1331.34,1328.5406968783757,1328.5406968783757,1336.9386062432484,0.1,-28.693031216242343,-279.93031216242343,-1.0,SL,2018Q2,2018,5,2018-04-05 04:30:00+00:00,2018Q2,2018
62,1313,2018-04-05 08:00:00+00:00,1316,2018-04-05 09:30:00+00:00,BUY,1328.7,1326.3241879654206,1326.3241879654206,1333.451624069159,0.1,-24.458120345794395,-237.58120345794396,-1.0,SL,2018Q2,2018,3,2018-04-05 08:00:00+00:00,2018Q2,2018
63,1318,2018-04-05 10:30:00+00:00,1329,2018-04-05 16:00:00+00:00,BUY,1326.9,1324.4537674913074,1324.4537674913074,1331.7924650173854,0.1,-25.16232508692674,-244.6232508692674,-1.0,SL,2018Q2,2018,11,2018-04-05 10:30:00+00:00,2018Q2,2018
64,1331,2018-04-05 17:00:00+00:00,1332,2018-04-05 17:30:00+00:00,BUY,1327.3,1323.7776674025301,1323.7776674025301,1334.3446651949398,0.1,-35.92332597469813,-352.2332597469813,-1.0,SL,2018Q2,2018,1,2018-04-05 17:00:00+00:00,2018Q2,2018
65,1334,2018-04-05 18:30:00+00:00,1348,2018-04-06 02:30:00+00:00,BUY,1324.2,1331.5232177234996,1320.5383911382503,1331.5232177234996,0.1,72.5321772349951,732.3217723499511,1.9437240054410387,TP,2018Q2,2018,14,2018-04-05 18:30:00+00:00,2018Q2,2018
66,1360,2018-04-06 08:30:00+00:00,1361,2018-04-06 09:00:00+00:00,BUY,1328.11,1325.6998374345774,1325.6998374345774,1332.930325130845,0.1,-24.801625654225244,-241.01625654225245,-1.0,SL,2018Q2,2018,1,2018-04-06 08:30:00+00:00,2018Q2,2018
67,1365,2018-04-06 11:00:00+00:00,1373,2018-04-06 15:00:00+00:00,BUY,1324.7,1321.6272901833993,1321.6272901833993,1330.8454196332013,0.1,-31.427098166007635,-307.27098166007636,-1.0,SL,2018Q2,2018,8,2018-04-06 11:00:00+00:00,2018Q2,2018
68,1422,2018-04-09 16:30:00+00:00,1428,2018-04-09 19:30:00+00:00,SELL,1333.45,1335.9329289510638,1335.9329289510638,1328.4841420978726,0.1,-25.52928951063741,-248.2928951063741,-1.0,SL,2018Q2,2018,6,2018-04-09 16:30:00+00:00,2018Q2,2018
69,1431,2018-04-09 21:00:00+00:00,1464,2018-04-10 14:30:00+00:00,SELL,1335.63,1338.3363285693313,1338.3363285693313,1330.2173428613376,0.1,-27.763285693311627,-270.6328569331163,-1.0,SL,2018Q2,2018,33,2018-04-09 21:00:00+00:00,2018Q2,2018
70,1465,2018-04-10 15:00:00+00:00,1465,2018-04-10 15:00:00+00:00,SELL,1336.33,1338.8947020347323,1338.8947020347323,1331.2005959305352,0.1,-26.34702034732363,-256.4702034732363,-1.0,SL,2018Q2,2018,0,2018-04-10 15:00:00+00:00,2018Q2,2018
71,1467,2018-04-10 16:00:00+00:00,1467,2018-04-10 16:00:00+00:00,SELL,1337.36,1340.1615287952538,1340.1615287952538,1331.756942409492,0.1,-28.715287952539438,-280.1528795253944,-1.0,SL,2018Q2,2018,0,2018-04-10 16:00:00+00:00,2018Q2,2018
72,1469,2018-04-10 17:00:00+00:00,1475,2018-04-10 20:00:00+00:00,SELL,1338.79,1341.8516753387648,1341.8516753387648,1332.6666493224702,0.1,-31.316753387648713,-306.16753387648714,-1.0,SL,2018Q2,2018,6,2018-04-10 17:00:00+00:00,2018Q2,2018
73,1477,2018-04-10 21:00:00+00:00,1487,2018-04-11 03:00:00+00:00,SELL,1338.83,1342.2894876168289,1342.2894876168289,1331.911024766342,0.1,-35.29487616828938,-345.94876168289375,-1.0,SL,2018Q2,2018,10,2018-04-10 21:00:00+00:00,2018Q2,2018
74,1488,2018-04-11 03:30:00+00:00,1499,2018-04-11 09:00:00+00:00,SELL,1341.52,1344.0423845279697,1344.0423845279697,1336.4752309440607,0.1,-25.923845279697343,-252.23845279697343,-1.0,SL,2018Q2,2018,11,2018-04-11 03:30:00+00:00,2018Q2,2018
75,1501,2018-04-11 10:00:00+00:00,1507,2018-04-11 13:00:00+00:00,SELL,1344.57,1346.6699173076843,1346.6699173076843,1340.3701653846313,0.1,-21.699173076843362,-209.99173076843363,-1.0,SL,2018Q2,2018,6,2018-04-11 10:00:00+00:00,2018Q2,2018
76,1511,2018-04-11 15:00:00+00:00,1511,2018-04-11 15:00:00+00:00,SELL,1348.63,1351.394734631991,1351.394734631991,1343.1005307360183,0.1,-28.347346319909047,-276.4734631990905,-1.0,SL,2018Q2,2018,0,2018-04-11 15:00:00+00:00,2018Q2,2018
77,1514,2018-04-11 16:30:00+00:00,1514,2018-04-11 16:30:00+00:00,SELL,1350.68,1353.9477667589229,1353.9477667589229,1344.1444664821545,0.1,-33.3776675892279,-326.77667589227894,-1.0,SL,2018Q2,2018,0,2018-04-11 16:30:00+00:00,2018Q2,2018
78,1519,2018-04-11 19:00:00+00:00,1523,2018-04-11 21:00:00+00:00,SELL,1361.13,1352.1010911256446,1365.644454437178,1352.1010911256446,0.1,89.58908874355465,902.8908874355466,1.954193022773392,TP,2018Q2,2018,4,2018-04-11 19:00:00+00:00,2018Q2,2018
79,1524,2018-04-11 21:30:00+00:00,1560,2018-04-12 16:30:00+00:00,SELL,1350.31,1339.067905648156,1355.931047175922,1339.067905648156,0.1,111.72094351843889,1124.209435184389,1.9630999368817912,TP,2018Q2,2018,36,2018-04-11 21:30:00+00:00,2018Q2,2018
80,1565,2018-04-12 19:00:00+00:00,1572,2018-04-12 22:30:00+00:00,BUY,1338.2,1334.0076536362342,1334.0076536362342,1346.584692727532,0.1,-42.623463637658645,-419.2346363765864,-1.0,SL,2018Q2,2018,7,2018-04-12 19:00:00+00:00,2018Q2,2018
81,1573,2018-04-12 23:00:00+00:00,1606,2018-04-13 16:30:00+00:00,BUY,1335.55,1342.9489801971963,1331.850509901402,1342.9489801971963,0.1,73.28980197196351,739.8980197196352,1.9442895472578967,TP,2018Q2,2018,33,2018-04-12 23:00:00+00:00,2018Q2,2018
82,1610,2018-04-13 18:30:00+00:00,1628,2018-04-16 04:30:00+00:00,SELL,1345.22,1348.5747476069378,1348.5747476069378,1338.5105047861248,0.1,-34.247476069377356,-335.47476069377353,-1.0,SL,2018Q2,2018,18,2018-04-13 18:30:00+00:00,2018Q2,2018
83,1632,2018-04-16 06:30:00+00:00,1653,2018-04-16 17:00:00+00:00,SELL,1347.28,1350.5348672605128,1350.5348672605128,1340.7702654789744,0.1,-33.24867260512811,-325.48672605128104,-1.0,SL,2018Q2,2018,21,2018-04-16 06:30:00+00:00,2018Q2,2018
84,1655,2018-04-16 18:00:00+00:00,1686,2018-04-17 10:30:00+00:00,SELL,1349.14,1342.97219994864,1352.2239000256802,1342.97219994864,0.1,60.97800051360018,616.7800051360018,1.9334157714923312,TP,2018Q2,2018,31,2018-04-16 18:00:00+00:00,2018Q2,2018
85,1698,2018-04-17 16:30:00+00:00,1704,2018-04-17 19:30:00+00:00,BUY,1340.04,1346.3643908376641,1336.877804581168,1346.3643908376641,0.1,62.54390837664168,632.4390837664168,1.9350286808847523,TP,2018Q2,2018,6,2018-04-17 16:30:00+00:00,2018Q2,2018
86,1745,2018-04-18 17:00:00+00:00,1793,2018-04-19 18:00:00+00:00,SELL,1351.97,1344.6578465807675,1355.6260767096162,1344.6578465807675,0.1,72.42153419232572,731.2153419232573,1.9436404517765804,TP,2018Q2,2018,48,2018-04-18 17:00:00+00:00,2018Q2,2018
87,1811,2018-04-20 04:00:00+00:00,1811,2018-04-20 04:00:00+00:00,BUY,1344.98,1342.3303857028172,1342.3303857028172,1350.2792285943658,0.1,-27.196142971827793,-264.96142971827794,-1.0,SL,2018Q2,2018,0,2018-04-20 04:00:00+00:00,2018Q2,2018
