id,entry_bar,entry_time,exit_bar,exit_time,direction,entry_price,exit_price,sl,tp,lots,pnl_usd,pnl_pts,pnl_r,exit_reason,quarter,year,holding_bars,entry_dt,entry_quarter,entry_year
30,1884,2018-04-02 18:00:00,1889,2018-04-02 20:30:00,BUY,1337.39,1343.5185714285715,1334.9385714285715,1343.5185714285715,0.1,60.58571428571376,612.8571428571377,2.402832861189801,TP,2018Q2,2018,5,2018-04-02 18:00:00,2018Q2,2018
31,1890,2018-04-02 21:00:00,1892,2018-04-02 22:00:00,BUY,1344.57,1340.8714285714284,1340.8714285714284,1353.8164285714286,0.1,-37.685714285715406,-369.85714285715403,-1.0,SL,2018Q2,2018,2,2018-04-02 21:00:00,2018Q2,2018
32,1893,2018-04-02 22:30:00,1903,2018-04-03 04:30:00,BUY,1341.41,1337.7575,1337.7575,1350.5412500000002,0.1,-37.22500000000146,-365.25000000001455,-1.0,SL,2018Q2,2018,10,2018-04-02 22:30:00,2018Q2,2018
33,1914,2018-04-03 10:00:00,1914,2018-04-03 10:00:00,BUY,1341.31,1339.2582142857143,1339.2582142857143,1346.4394642857142,0.1,-21.217857142856428,-205.17857142856428,-1.0,SL,2018Q2,2018,0,2018-04-03 10:00:00,2018Q2,2018
34,1963,2018-04-04 11:30:00,1974,2018-04-04 17:00:00,BUY,1343.44,1340.8203571428571,1340.8203571428571,1349.9891071428572,0.1,-26.89642857142935,-261.9642857142935,-1.0,SL,2018Q2,2018,11,2018-04-04 11:30:00,2018Q2,2018
35,2082,2018-04-09 02:00:00,2084,2018-04-09 03:00:00,BUY,1333.84,1331.3971428571426,1331.3971428571426,1339.947142857143,0.1,-25.128571428572922,-244.28571428572923,-1.0,SL,2018Q2,2018,2,2018-04-09 02:00:00,2018Q2,2018
36,2090,2018-04-09 06:00:00,2096,2018-04-09 09:00:00,BUY,1333.33,1331.3210714285713,1331.3210714285713,1338.3523214285713,0.1,-20.789285714286688,-200.8928571428669,-1.0,SL,2018Q2,2018,6,2018-04-09 06:00:00,2018Q2,2018
37,2109,2018-04-09 15:30:00,2156,2018-04-10 16:00:00,BUY,1332.63,1338.9407142857144,1330.1057142857144,1338.9407142857144,0.1,62.407142857143114,631.0714285714312,2.405561674008811,TP,2018Q2,2018,47,2018-04-09 15:30:00,2018Q2,2018
38,2157,2018-04-10 16:30:00,2160,2018-04-10 18:00:00,BUY,1339.74,1336.4132142857143,1336.4132142857143,1348.0569642857145,0.1,-33.96785714285734,-332.6785714285734,-1.0,SL,2018Q2,2018,3,2018-04-10 16:30:00,2018Q2,2018
39,2162,2018-04-10 19:00:00,2196,2018-04-11 13:00:00,BUY,1338.8,1347.0767857142857,1335.4892857142856,1347.0767857142857,0.1,82.06785714285779,827.6785714285779,2.4275301077540674,TP,2018Q2,2018,34,2018-04-10 19:00:00,2018Q2,2018
40,2197,2018-04-11 13:30:00,2201,2018-04-11 15:30:00,BUY,1346.78,1352.1398214285714,1344.6360714285713,1352.1398214285714,0.1,52.89821428571422,535.9821428571422,2.389336989836972,TP,2018Q2,2018,4,2018-04-11 13:30:00,2018Q2,2018
41,2202,2018-04-11 16:00:00,2206,2018-04-11 18:00:00,BUY,1352.62,1361.2476785714284,1349.1689285714285,1361.2476785714284,0.1,85.57678571428532,862.7678571428532,2.4304189065828483,TP,2018Q2,2018,4,2018-04-11 16:00:00,2018Q2,2018
42,2207,2018-04-11 18:30:00,2208,2018-04-11 19:00:00,BUY,1362.98,1357.9860714285714,1357.9860714285714,1375.4648214285714,0.1,-50.63928571428569,-499.3928571428569,-1.0,SL,2018Q2,2018,1,2018-04-11 18:30:00,2018Q2,2018
43,2341,2018-04-16 16:30:00,2367,2018-04-17 06:30:00,BUY,1347.49,1344.5114285714285,1344.5114285714285,1354.9364285714285,0.1,-30.48571428571513,-297.8571428571513,-1.0,SL,2018Q2,2018,26,2018-04-16 16:30:00,2018Q2,2018
44,2374,2018-04-17 10:00:00,2374,2018-04-17 10:00:00,BUY,1348.56,1346.2757142857142,1346.2757142857142,1354.2707142857143,0.1,-23.542857142857155,-228.42857142857156,-1.0,SL,2018Q2,2018,0,2018-04-17 10:00:00,2018Q2,2018
45,2428,2018-04-18 14:00:00,2470,2018-04-19 12:00:00,BUY,1349.27,1346.2657142857142,1346.2657142857142,1356.7807142857146,0.1,-30.742857142857428,-300.4285714285743,-1.0,SL,2018Q2,2018,42,2018-04-18 14:00:00,2018Q2,2018
46,2766,2018-04-27 22:00:00,2779,2018-04-30 05:30:00,BUY,1325.17,1322.2235714285714,1322.2235714285714,1332.5360714285714,0.1,-30.164285714286688,-294.6428571428669,-1.0,SL,2018Q2,2018,13,2018-04-27 22:00:00,2018Q2,2018
47,2931,2018-05-03 12:30:00,2972,2018-05-04 10:00:00,BUY,1312.87,1310.5771428571427,1310.5771428571427,1318.6021428571428,0.1,-23.628571428572013,-229.28571428572013,-1.0,SL,2018Q2,2018,41,2018-05-03 12:30:00,2018Q2,2018
